Leitores,Escritores,TempoControle,TempoBloqueio
0,100,120,117
1,99,115,114
2,98,117,117
3,97,116,116
4,96,115,114
5,95,115,114
6,94,116,115
7,93,115,117
8,92,114,118
9,91,115,118
10,90,112,117
11,89,106,118
12,88,108,116
13,87,107,115
14,86,105,114
15,85,107,116
16,84,105,117
17,83,106,115
18,82,105,118
19,81,103,118
20,80,105,116
21,79,100,117
22,78,102,116
23,77,97,116
24,76,98,116
25,75,100,117
26,74,97,119
27,73,97,119
28,72,96,119
29,71,97,117
30,70,93,117
31,69,93,115
32,68,90,120
33,67,87,120
34,66,86,119
35,65,83,119
36,64,87,120
37,63,88,121
38,62,89,121
39,61,86,118
40,60,87,120
41,59,84,118
42,58,86,119
43,57,85,119
44,56,83,121
45,55,83,120
46,54,73,122
47,53,75,122
48,52,70,122
49,51,65,121
50,50,72,118
51,49,64,120
52,48,67,117
53,47,69,118
54,46,65,121
55,45,66,120
56,44,66,120
57,43,60,120
58,42,58,122
59,41,60,122
60,40,70,122
61,39,57,121
62,38,64,119
63,37,67,121
64,36,62,116
65,35,65,119
66,34,60,121
67,33,61,120
68,32,64,122
69,31,54,119
70,30,56,123
71,29,57,123
72,28,58,121
73,27,53,117
74,26,59,122
75,25,52,121
76,24,54,122
77,23,51,123
78,22,48,123
79,21,49,121
80,20,36,121
81,19,33,122
82,18,29,122
83,17,28,123
84,16,28,124
85,15,26,124
86,14,25,125
87,13,24,123
88,12,24,123
89,11,33,123
90,10,37,119
91,9,27,122
92,8,22,121
93,7,33,123
94,6,26,123
95,5,28,122
96,4,23,123
97,3,26,120
98,2,26,125
99,1,12,122
100,0,13,126
